Slug,Firm,Town,Address,Phone,Website,Email,Director,First Name,Last Name,Listing URL,Rating,Reviews,Branches Found,Flags,Search Term,Place ID,Probe Sent,Probe Address,First Reply,Lag (hrs),Reply Channel,Emailed,Called,Outcome
farsons-property-5xw4,Farsons Property Group,Shenfield,"Hutton, Brentwood CM15 8QF, UK",01277 288850,https://www.farsonspropertygroup.com/,david@farsonspropertygroup.com,Jacob Farson,Jacob,Farson,https://farsonspropertygroup.com/properties/for-sale/page/2,4.8,13,1,,estate agents,ChIJjcFNn2m_2EcR7jdLgaFdFF4,,,,,,,,
mccartney-letting-ic60,McCartney Letting and Estate Agents in Chelmsford,Chelmsford,"74 Moulsham St, Chelmsford CM2 0JA, UK",01245 266980,https://www.mccartneyestateagents.co.uk/?utm_source=localmaps&utm_medium=gbp&utm_campaign=chelmsford,chelmsford@mccartneyestateagents.co.uk,,,,https://www.mccartneyestateagents.co.uk/property/509-brimfield-road-watts-wood-purfleet-essex-rm19-1rq,4.7,167,1,,estate agents,ChIJQdQkctTr2EcRtvN9ZcZ6G54,,,,,,,,
home-partnership-ppav,HOME Partnership Estate Agent Chelmsford,Chelmsford,"11 Duke St, Chelmsford CM1 1HL, UK",01245 250222,http://www.thehomepartnership.co.uk/,brentwood@thehomepartnership.co.uk,Scott Mason,Scott,Mason,https://www.thehomepartnership.co.uk/property/brook-end-road-north-chancellor-park-chelmsford/,4.8,444,1,"CHECK: high review count, may be corporate",estate agents,ChIJKzvR2Nnr2EcR7UdeHBJWLfg,,,,,,,,
charles-david-wvt6,Charles David Casson Estate Agents Chelmsford,Chelmsford,"Imperial House, Victoria Rd, Chelmsford CM1 1NY, UK",01245 835859,https://www.charlesdavidcasson.co.uk/,anjali.denning-sen@charlesdavidcasson.co.uk,Matt Baldock,Matt,Baldock,https://www.charlesdavidcasson.co.uk/property/donald-way-moulsham-lodge-investors-only/,4.6,344,1,,estate agents,ChIJI82qANvr2EcRtYi0xEOnus0,,,,,,,,
kiln-and-p4gi,Kiln and Lodge Estates,Chelmsford,"Vision Offices, Saxon House, 27 Duke St, Chelmsford CM1 1HT, UK",01245 330764,http://www.kilnandlodgeestates.co.uk/,sales@kilnandlodgeestates.co.uk,,,,,4.7,73,1,no listing URL — get one by hand before probing,estate agency,ChIJ08An2Ozr2EcRriGtAsCajfA,,,,,,,,
prime-property-t83v,Prime Property Lettings Ltd T/A Chelmsford Rooms to Rent,Chelmsford,"1 Upper Chase, Chelmsford CM2 0BN, UK",01245 356039,http://www.chelmsfordroomstorent.co.uk/,info@chelmsfordroomstorent.co.uk,,,,,4.9,49,1,no listing URL — get one by hand before probing,property for sale,ChIJPSnnHOTr2EcRr4GGPPSo2TU,,,,,,,,
property-sale-nayq,Property Sale Now,Chelmsford,"The Studio Suite, Croxton's Mill, Little Waltham, Chelmsford CM3 3PJ, UK",01245 955070,http://www.propertysalenow.co.uk/,hello@propertysalenow.co.uk,,,,,5.0,3,1,no listing URL — get one by hand before probing,property for sale,ChIJ84EMbgLv2EcROCIt-wqlCWA,,,,,,,,
ob-property-88b1,OB Property Ltd,Chelmsford,"Saxon House, 27 Duke St, Chelmsford CM1 1HT, UK",01245 202579,http://www.obproperty.co.uk/,mail@obproperty.co.uk,Nicola Owen,Nicola,Owen,,4.7,10,1,no listing URL — get one by hand before probing,property for sale,ChIJldoHAHHr2EcR79t81itr0oA,,,,,,,,
clive-emson-8ss4,Clive Emson Land & Property Auctioneers Essex,Chelmsford,"Unit 5 Hoffmanns Way, Chelmsford CM1 1GU, UK",01245 205778,https://www.cliveemson.co.uk/properties/essex/?utm_source=google&utm_medium=organic&utm_campaign=gmb,auctions@cliveemson.co.uk,,,,https://www.cliveemson.co.uk/properties/essex/properties/essex/clacton-on-sea/,4.9,19,1,,property for sale,ChIJySmZ7tPr2EcRceJ5H-2T7XU,,,,,,,,
hamilton-piers-5s22,Hamilton Piers of Springfield & Chelmsford,Chelmsford,"4 Torquay Rd, Springfield, Chelmsford CM1 6NF, UK",01245 269777,http://www.hamiltonpiers.co.uk/,chelmsford@hamiltonpiers.co.uk,,,,,4.8,108,1,no listing URL — get one by hand before probing,property for sale,ChIJMaJglULp2EcRhZJwHufjFuU,,,,,,,,
cowling-payne-anwi,Cowling & Payne Estate Agents Wickford,Wickford,"2-4 Runwell Rd, Wickford SS11 7AB, UK",01268 730707,http://www.cowlingandpayne.co.uk/,info@cowlingandpayne.co.uk,,,,,4.8,620,1,"CHECK: high review count, may be corporate; no listing URL — get one by hand before probing",estate agents,ChIJE7nDNHTD2EcR3IXxD5PStD4,,,,,,,,
temme-english-md4m,Temme English Estate Agents Wickford,Wickford,"1-7, Broadway House, The Broadway, Wickford SS11 7AD, UK",01268 573035,http://temmeenglish.co.uk/,basildon@temmeenglish.co.uk,,,,https://temmeenglish.co.uk/property/property-portfolio-for-sale-nine-flats-one-bungalow-available-with-tenants-in-situ/,4.9,246,1,,estate agents,ChIJS-Bw3HXD2EcR_7rXKoUffi4,,,,,,,,
your-home-kyo2,Your Home Property Management Ltd,Wickford,"Fanton Hall (Office, 12B Arterial Road, Wickford SS12 9JF, UK",01277 812905,https://www.yourhomepm.co.uk/,info@yourhomepm.co.uk,James Cooke,James,Cooke,,4.4,58,1,no listing URL — get one by hand before probing,estate agency,ChIJVVUVUi_H2EcRS1mC7fnxxMw,,,,,,,,
dixsons-residential-h8eo,Dixsons Residential Estates Ltd,Wickford,"Ste 1, 6, Station Approach, Wickford SS11 7AT, UK",01708 443561,https://www.dixsonsestates.co.uk/,dixsonsestates@aol.com,Sally-Anne Dixson,Sally-Anne,Dixson,,4.4,14,1,no listing URL — get one by hand before probing,estate agency,ChIJyaMZvRy72EcRQfbiEHXChVU,,,,,,,,
roger-bates-jnk9,Roger Bates Properties,Wickford,"10 Whiteshott, Kingswood, Basildon SS16 5HF, UK",07494 803917,http://rogerbatesproperties.co.uk/,steve@theestateagentsphotographer.co.uk,Roger Bates,Roger,Bates,,4.9,74,1,no listing URL — get one by hand before probing,estate agency,ChIJSRoO7Q_H2EcR0p6hbACD5r0,,,,,,,,
barrett-estates-4c8w,Barrett Estates & Letting Agents Ltd,Wickford,"155 High St, Rayleigh SS6 7QA, UK",01268 774676,http://www.barrettestates.com/,carol@barrettestates.com,Mike Barrett,Mike,Barrett,https://barrettestates.com/property/4-bed-detached-house-for-sale-in-kelvedon-road-messing-colchester-essex-co5/697087,4.7,142,1,,estate agency,ChIJuZWk1G_b2EcRC8dZYJF8NAo,,,,,,,,
gilbert-rose-cfpo,Gilbert & Rose,Wickford,"1333 London Rd, Southend-on-Sea, Leigh-on-Sea SS9 2AD, UK",01702 595225,https://www.gilbertandrose.co.uk/,commercials@gilbertandrose.co.uk,,,,https://gilbertandrose.co.uk/properties/christchurch-road-southend-on-sea-ss2-1,4.9,1259,1,"CHECK: high review count, may be corporate",property for sale,ChIJjwaBA87b2EcRNbgR4jfV0GU,,,,,,,,
carter-ward-9ojd,Carter & Ward,Wickford,"Construction House, 82 Runwell Rd, Wickford SS11 7HJ, UK",01268 733421,http://www.carterandward.co.uk/,basildon@temmeenglish.co.uk,,,,,4.2,5,1,no listing URL — get one by hand before probing,property for sale,ChIJbb5sJHPD2EcRMbFkIxkSTUE,,,,,,,,
elliott-smith-uuoo,Elliott & Smith,Rayleigh,"57 High St, Rayleigh SS6 7EW, UK",01268 947947,http://elliottandsmith.co.uk/,lettings@elliottandsmith.co.uk,,,,https://www.elliottandsmith.co.uk/property/30663066/kingswood-crescent-rayleigh-2/,4.9,102,1,,estate agents,ChIJ0xUFeHrb2EcRkgEYwCSa610,,,,,,,,
diggins-co-dvai,Diggins & Co Estate Agents Rayleigh,Rayleigh,"35 Eastwood Rd, Rayleigh SS6 7JE, UK",01268 777200,https://www.digginsandco.com/,sales@digginsandco.com,Darren Diggins,Darren,Diggins,,4.6,41,1,no listing URL — get one by hand before probing,estate agents,ChIJ6x5xUXDb2EcReLgCq77mkxw,,,,,,,,
hair-son-8ijy,Hair & Son Rayleigh,Rayleigh,"6 High St, Rayleigh SS6 7EG, UK",01268 774316,https://hairandson.co.uk/estate-agents-rayleigh/,adrianbartlett@hairandson.co.uk,Laurence Cox,Laurence,Cox,https://hairandson.co.uk/property/luxury-development-for-the-over-60s-chalkwell-avenue-3/,3.9,18,1,,estate agents,ChIJjUYPbnrb2EcRfNQXSP5ao7k,,,,,,,,
essex-guild-sdc2,Essex Guild Homes,Rayleigh,"75 Eastwood Rd, Rayleigh SS6 7JN, UK",01268 777728,https://essexguildhomes.co.uk/,info@essexguildhomes.co.uk,Thomas,Thomas,,https://essexguildhomes.co.uk/property/southchurch-boulevard-southend-on-sea/,5.0,34,1,,estate agents,ChIJkZ5-LwDb2EcRazwyufql5B4,,,,,,,,
lawrence-antony-t9yu,Lawrence Antony KW,Rayleigh,"103 High St, Rayleigh SS6 7EJ, UK",01268 778333,https://www.kwuk.com/agent/mia-antony/,miabuck@kwuk.com,Mia Antony,Mia,Antony,https://www.kwuk.com/property/newport-road-woburn-sands-milton-keynes-mk17-2/,4.7,45,1,,estate agents,ChIJk8J2P3Db2EcRo0z3Bu01yMc,,,,,,,,
carters-estates-kbat,Carters Estates,Rayleigh,"26, The Regency, High St, Rayleigh SS6 7FZ, UK",01268 203579,https://www.cartersestates.co.uk/,hello@cartersestates.co.uk,,,,,5.0,1,1,no listing URL — get one by hand before probing,estate agents,ChIJDZI02_Pb2EcRXlZymra_A4o,,,,,,,,
dedman-property-k5tr,Dedman Property Management,Rayleigh,"1 London Hill, Rayleigh SS6 7HW, UK",01268 771300,http://www.dedmanpropertymanagement.co.uk/,rayleigh@dedmanpropertymanagement.co.uk,,,,,4.8,51,1,no listing URL — get one by hand before probing,estate agents,ChIJXboUa3rb2EcRl1XN4-f52Ps,,,,,,,,
essex-countryside-argk,Essex Countryside Rayleigh Estate Agents,Rayleigh,"2 Church St, Rayleigh SS6 7EE, UK",01268 748428,http://www.essexcountryside.com/,sales@essexcountryside.com,Anthony,Anthony,,,5.0,3,1,no listing URL — get one by hand before probing,estate agents,ChIJkbZKE3rb2EcRD9RFsrTc8-k,,,,,,,,
stuart-thomas-tf3f,Stuart Thomas Estates,Rayleigh,"294 Kiln Rd, Hadleigh, Benfleet SS7 1QT, UK",01702 558110,http://www.stestates.co.uk/,info@stestates.co.uk,Stuart Thomas,Stuart,Thomas,https://www.stestates.co.uk/property/3456-4-bedroom-detached-character-house-for-sale,4.9,195,1,,estate agents,ChIJKVC2sR3b2EcRf0qfcDFkwjM,,,,,,,,
bear-estate-gxpv,Bear Estate Agents,Rayleigh,"11 Main Rd, Hockley SS5 4QY, UK",01702 416476,http://www.bearestateagents.co.uk/,info@bearestateagents.co.uk,,,,http://www.bearestateagents.co.uk/for-sale/great-knightleys/208223/,4.9,117,1,,estate agency,ChIJBf4YO0rd2EcRA02FKTEg7yE,,,,,,,,
shore-sales-wjgb,Shore Sales & Lettings,Rayleigh,"164 Leigh Rd, Southend-on-Sea, Leigh-on-Sea SS9 1BT, UK",01702 840036,http://www.shore-property.co.uk/,info@shore-property.co.uk,David,David,,https://www.shore-property.co.uk/properties/property/810/2-bed-flat-for-sale-burnt-oak-lodge-london-road-hadleigh-hadleigh-benfleet/,4.9,102,1,,property for sale,ChIJ6-s1R9Hb2EcRpuu-4qHtzpU,,,,,,,,
arkasian-property-q5oj,Arkasian Property Management Limited,Rayleigh,"69 High St, Rayleigh SS6 7EJ, UK",0330 123 0135,https://www.arkasian.co.uk/,info@arkasian.co.uk,,,,,5.0,4,1,no listing URL — get one by hand before probing,property for sale,ChIJX7t-SYjb2EcRl65ioSTu0LY,,,,,,,,
whirledge-nott-a99i,Whirledge & Nott Ltd,Rayleigh,"The Black Barn, Lubards Farm, Hullbridge Rd, Rayleigh SS6 9QG, UK",01268 783377,http://www.whirledgeandnott.co.uk/,a.hicks@whirledgeandnott.co.uk,Michael Hughes,Michael,Hughes,,3.7,3,1,no listing URL — get one by hand before probing,property for sale,ChIJ_yISZIbc2EcRDKdvgLzS62k,,,,,,,,
oakmont-property-fiwr,Oakmont Property Consultants Ltd (Hornchurch Estate Agents),Hornchurch,"55 Butts Green Rd, Hornchurch RM11 2JS, UK",01708 223344,http://www.oakmontpropertyconsultants.co.uk/,info@oakmontpropertyconsultants.co.uk,,,,,5.0,214,1,no listing URL — get one by hand before probing,estate agents,ChIJRaYn1HW72EcREdvbanlfFEU,,,,,,,,
noble-residential-lgvy,Noble Residential,Hornchurch,"168-170 Hornchurch Rd, Hornchurch RM11 1QH, UK",01708 963063,https://www.nobleresidential.co.uk/,alice@nobleresidential.co.uk,,,,https://www.nobleresidential.co.uk/property/residential/for-sale/hertfordshire/bishops-stortford/great-hallingbury/bedlars-green/34301837,4.9,190,1,,estate agents,ChIJYbVGuNC72EcRBWzIs5g08U0,,,,,,,,
davis-estates-3toa,Davis Estates,Hornchurch,"179 Squirrels Heath Ln, Ardleigh Grn Rd, Hornchurch RM11 2DX, UK",01708 476666,http://www.davisestates.co.uk/,admin@tpos.co.uk,,,,https://www.davisestates.co.uk/property/2276/3-bed-semi-detached-house-for-sale-squirrels-heath-lane-ardleigh-green-hornchurch-rm11/,4.8,78,1,,estate agents,ChIJLfPHmm672EcRE2fL010ytZ0,,,,,,,,
100-key-1jfi,100 Key Properties,Hornchurch,"129a High St, Hornchurch RM11 1TX, UK",020 3583 1311,http://www.100keyproperties.co.uk/,info@100keyproperties.co.uk,Andrea Zuk,Andrea,Zuk,,4.2,83,1,no listing URL — get one by hand before probing,estate agents,ChIJbcklZDip2EcRWi9OeVyTbSQ,,,,,,,,
stephen-james-n8x1,"Stephen James | Residential & Commercial Estate and Letting Agents in Emerson Park, Hornchurch",Hornchurch,"Ste 5, 67 Butts Green Rd, Hornchurch RM11 2JS, UK",07768 585551,https://www.sjlettingandsales.com/,hello@sjlettingandsales.com,Stephen James,Stephen,James,https://www.sjlettingandsales.com/property/kingsley-gardens-hornchurch-london-rm11-4-bed-semi-detached/,4.9,96,1,,estate agents,ChIJQ2bRIxm72EcRfp577QNFrHw,,,,,,,,
readings-property-7pxz,Readings Property Services,Hornchurch,"12 Elm Parade, Hornchurch RM12 4RH, UK",01708 437766,http://readingspropertyservices.websites.propertylogic.net/,elmpark@readingsestateagents.co.uk,,,,,4.2,164,1,no listing URL — get one by hand before probing,estate agents,ChIJY8ausdC62EcRwKeey6yRseM,,,,,,,,
steve-barton-qcgr,"Steve Barton Estate Agent, Hornchurch, Upminster, Rainham, Gidea Park, Collier Row, Harold Wood, Cranham, Romford.",Hornchurch,"142 Slewins Ln, Hornchurch, Essex RM11 2BU, UK",01708 985995,https://stevebarton.exp.uk.com/,steve.barton@expuk.com,Steve Barton,Steve,Barton,https://stevebarton.exp.uk.com/property/fortius-apartments-tredegar-road-london-e3/1431483/,5.0,10,1,,estate agents,ChIJiT11KxO72EcRNFWQsWSr-D8,,,,,,,,
landmark-residential-ejda,Landmark Residential,Hornchurch,"201, 203 Station Ln, Hornchurch RM12 6LL, UK",020 3195 7610,http://www.landmarkresidential.co.uk/,info@landmarkresidential.co.uk,Gavin Scott,Gavin,Scott,https://landmarkresidential.co.uk/property/freeman-close-castle-hill-ebbsfleet-valley-2/,5.0,123,1,,estate agents,ChIJVwZ2-7IDdkgRR7CjAd5FZsA,,,,,,,,
alternative-property-2ohi,Alternative Property Services Letting Agents in Hornchurch,Hornchurch,"4 North St, Hornchurch RM11 1QX, UK",01708 454121,https://alternativepropertyservices.co.uk/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Hornchurch,lettings@alternativepropertyservices.co.uk,,,,https://alternativepropertyservices.co.uk/property/waterwell-court-manor-avenue-hornchurch-essex-5/,3.9,103,1,,estate agency,ChIJZzN8hhu72EcRAN9NeweM6KU,,,,,,,,
apple-property-h02z,Apple Property Services,Hornchurch,"87 Park Ln, Hornchurch RM11 1BH, UK",01708 704768,http://www.applepropertyservices.com/,david@applepropertyservices.com,David,David,,https://www.applepropertyservices.com/property/sitemap.xml,4.0,106,1,,property for sale,ChIJhXctMK6k2EcRW5kV4xPFCnE,,,,,,,,
gates-parish-b7p4,Gates Parish | Griffin Residential Group,Upminster,"32 Station Rd, Upminster RM14 2TX, UK",01708 250033,https://www.griffingroup.co.uk/estate-agents/gates-parish-and-co/,alan@griffingroup.co.uk,Alan Webb,Alan,Webb,,5.0,129,1,no listing URL — get one by hand before probing,estate agents,ChIJLe_lX7272EcR2lndHvht9tg,,,,,,,,
bowyer-mark-lf0j,Bowyer Mark,Upminster,"17 Corbets Tey Rd, Upminster RM14 2AP, UK",01708 220077,https://markbowyerestateagents.co.uk/,property@markbowyerestateagents.co.uk,Mark Bowyer,Mark,Bowyer,https://markbowyerestateagents.co.uk/properties/huskards-waldergrave-gardens-upminster/,3.2,16,1,,estate agents,ChIJeaSgFE262EcRdmxUoJjL0KY,,,,,,,,
gates-parish-3gw6,Gates Parish & Co,Upminster,"32 Station Rd, Upminster RM14 2TX, UK",01708 250033,https://www.gates-parish.co.uk/,alan@griffingroup.co.uk,Alan Webb,Alan,Webb,,3.8,20,1,no listing URL — get one by hand before probing,estate agents,ChIJb8f-2bK72EcR7cXRBXmpGO0,,,,,,,,
abbey-estate-2fql,Abbey Estate Agents,Upminster,"108 Upminster Rd S, Rainham RM13 9AB, UK",01708 554672,http://www.abbey-homes.co.uk/,info@abbey-homes.co.uk,,,,,4.8,68,1,no listing URL — get one by hand before probing,estate agency,ChIJTVGVRKm62EcR1JFLoIhK-sI,,,,,,,,
m-p-313a,M&P Estates,Upminster,"M&P Estates, 111 Daiglen Dr, South Ockendon RM15 5EH, UK",01708 851999,https://www.mpestates.co.uk/?utm_source=localmaps&utm_medium=gbp&utm_campaign=south_ockendon,amber@mpestates.co.uk,,,,https://mpestates.co.uk/properties/3-bedroom-flats-apartments-house-for-sale-in-corran-way-south-ockendon-essex-rm15/535415,4.7,192,1,,estate agency,ChIJ7QFsX1O32EcRYyjeEb4wcGY,,,,,,,,
barringtons-property-wx1t,Barringtons Property Consultants,Ingatestone,"90A High St, Ingatestone CM4 9DW, UK",01277 600400,http://www.barringtonsproperty.co.uk/,enquiries@barringtonsproperty.co.uk,Mark Newman,Mark,Newman,,4.7,159,1,no listing URL — get one by hand before probing,estate agents,ChIJNT3QygjA2EcRPIiU20B7jrI,,,,,,,,
walkers-people-qcle,"Walkers, People & Property",Ingatestone,"90 High St, Ingatestone CM4 9DW, UK",01277 355005,https://www.walkersestates.co.uk/,sales@walkersestates.co.uk,,,,,5.0,1,1,no listing URL — get one by hand before probing,estate agents,ChIJ__9rNQ_A2EcRhKfRTKomAAs,,,,,,,,
