intelligence_id,agency_id,probe_id,observation_status,observation_deadline,auto_acknowledgement,auto_ack_timestamp,crm_detected,crm_name,crm_evidence,first_human_touch,first_human_touch_at,human_lag_hours,callback_attempts,successful_conversations,voicemail_count,inbound_sms_count,email_touch_count,follow_up_count,follow_up_channels,last_touch_at,days_chased,booking_attempt,contact_quality,proactive_reactive,persistence_profile,channels_used,grade,grade_reason,tier,tier_reason,sales_angle,segment,ai_evidence_summary,ai_confidence,manual_override,override_reason,observation_closed_at,created_at,updated_at,contact_attempt_count
itl_msyjsh1b_84kb22,ag_hist_stantonhockett,prb_hist_0002,closed,2026-08-14T20:53:05.000Z,FALSE,,unknown,,,yes,2026-08-12T11:00:00+01:00,37.11527778,2,0,1,0,0,1,voice,2026-08-15T00:00:00+01:00,4.09,FALSE,Proactive,proactive,low,voice,E,Slow human contact (>16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 37.1h (2026-08-12T11:00:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: voice, 1 voicemail(s), chased over 4.09 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hi, Jerry, it's Terry from Stanton Hockett estate agents. Trying to catch up with you regarding your inquiry on our lovely Wedgewood Way property in Ashingdon a…"" (voice, 2026-08-12T11:00:00+01:00).",,,,2026-08-14T20:53:05.000Z,2026-08-18T10:56:46.467Z,2026-08-18T22:22:49.323Z,2
itl_msyjshoc_mnzuq5,ag_hist_quirkandpartners,prb_hist_0003,closed,2026-08-14T20:53:05.000Z,FALSE,,unknown,,,no,,,0,0,0,0,0,0,,,,FALSE,,none,none,,H,Observation window closed after 4 days with no meaningful response on any channel (Source Master §10).,,,,,"Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none).",,,,2026-08-14T20:53:05.000Z,2026-08-18T10:56:47.300Z,2026-08-18T22:22:49.323Z,0
itl_msyjsj42_0jvl6c,ag_hist_hentonkirkman,prb_hist_0004,closed,2026-08-14T20:53:05.000Z,FALSE,,unknown,,,yes,2026-08-11T16:48:00+01:00,18.91527778,1,0,0,0,0,0,,2026-08-11T16:48:00+01:00,0.79,FALSE,Reactive,reactive,none,voice,F,Slow human contact (>16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 18.9h (2026-08-11T16:48:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice, chased over 0.79 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message.",,,,2026-08-14T20:53:05.000Z,2026-08-18T10:56:49.179Z,2026-08-18T22:22:49.323Z,1
itl_msyjsls0_3tx5qy,ag_hist_parabar,prb_hist_0005,closed,2026-08-14T20:53:05.000Z,FALSE,,unknown,,,yes,2026-08-11T07:31:26Z,10.63916667,0,0,0,0,3,1,email,2026-08-12T08:54:57Z,1.5,FALSE,Proactive,proactive,low,email,B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 3 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 10.6h (2026-08-11T07:31:26Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email, chased over 1.5 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Property Details — Dear Joe Carter. Please find attached the brochure(s) for properties we think will interest you. Please contact me on 01277 65 65 63 if you a…"" (email, 2026-08-11T07:31:26Z); ""Property Details - Outwood Common Road, Billericay — Dear Joe Carter. Please find attached the brochure(s) for properties we think will interest you. Please con…"" (email, 2026-08-12T08:54:04Z); ""Property Details - Kilbarry Walk, Billericay — Dear Joe Carter. Please find attached the brochure(s) for properties we think will interest you. Please contact m…"" (email, 2026-08-12T08:54:57Z).",,,,2026-08-14T20:53:05.000Z,2026-08-18T10:56:52.660Z,2026-08-18T22:22:49.323Z,2
itl_msyjsnw2_e3tvlu,ag_hist_tylerestates,prb_hist_0006,closed,2026-08-14T21:03:08.000Z,TRUE,2026-08-10T21:03:57Z,unknown,,,yes,2026-08-11T09:41:00+01:00,11.63111111,2,0,2,0,0,1,voice,2026-08-13T00:00:00+01:00,2.08,TRUE,Booking attempt,proactive,multi-channel,"email,voice",B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 11.6h (2026-08-11T09:41:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email,voice, 2 voicemail(s), chased over 2.08 day(s) (proactive). Booking: a viewing/valuation was raised, but no specific time or availability was ever pushed for. Evidence: ""Hi, this message for Joe. It's Freddy calling from Tyro Estates. I hope you're well. Just calling regarding your request on Southwood. Cool. Kind of give me a c…"" (voice, 2026-08-11T09:41:00+01:00); ""Oh, good morning, Joe. It's Martin here from Tyler Estates. I'm just coming back to you regarding an inquiry you've made on one of our retirement properties at…"" (voice, 2026-08-13T00:00:00+01:00).",,,,2026-08-14T21:03:08.000Z,2026-08-18T10:56:55.376Z,2026-08-18T22:22:49.323Z,2
itl_msyjsolk_fsqb53,ag_hist_thepropertyspecialists,prb_hist_0007,closed,2026-08-14T21:00:05.000Z,FALSE,,unknown,,,yes,2026-08-11T11:16:23Z,14.27166667,0,0,0,0,1,0,,2026-08-11T11:16:23Z,0.59,TRUE,Booking attempt,reactive,none,email,D,Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 14.3h (2026-08-11T11:16:23Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email, chased over 0.59 day(s) (reactive). Booking: a viewing/valuation was raised, but no specific time or availability was ever pushed for. Evidence: ""Walman House, Billericay — Hi Joe, thanks for your enquiry regarding the property we have for sale in Walman House, St Ediths Court, Billericay. I understand yo…"" (email, 2026-08-11T11:16:23Z).",,,,2026-08-14T21:00:05.000Z,2026-08-18T10:56:56.265Z,2026-08-18T22:22:49.323Z,1
itl_msykdvny_bic9d5,ag_hist_gibsonandbrennan,prb_hist_0008,closed,2026-08-14T21:00:05.000Z,TRUE,2026-08-10T21:09:44Z,unknown,,,yes,2026-08-11T10:26:00+01:00,12.43194444,1,0,1,0,1,0,,2026-08-11T09:27:12Z,0.52,FALSE,Reactive,proactive,multi-channel,"email,voice",D,Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 12.4h (2026-08-11T10:26:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email,voice, 1 voicemail(s), chased over 0.52 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Hello Joe, this is Dan from Gibson and Brennan. Give me a call back when you get this. 01268 219992. Thanks."" (voice, 2026-08-11T10:26:00+01:00); ""Your viewing request — Hello Joe. We hope this email finds you in good health and high spirits. We received an email from you regarding arranging a viewing for…"" (email, 2026-08-11T09:27:12Z).",,,,2026-08-14T21:00:05.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,1
itl_msykdvny_15bojn,ag_hist_crownestatesagents,prb_hist_0009,closed,2026-08-14T21:00:05.000Z,FALSE,,unknown,,,yes,2026-08-11T12:29:00+01:00,14.48194444,2,0,1,0,1,2,"voice,email",2026-08-12T15:37:15Z,1.78,FALSE,Persistent / multi-channel,proactive,multi-channel,"voice,email",B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 3 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 14.5h (2026-08-11T12:29:00+01:00). Persistence: 3 contact attempt(s), 2 follow-up(s), channels: voice,email, 1 voicemail(s), chased over 1.78 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hi, my name's Kathy from a company called Crown State Agents. We've had a contact detail from you regarding a property we've got for sale. Fox Cottage in Ramsde…"" (voice, 2026-08-11T12:29:00+01:00); ""Kathy Crown Estate Agents re inquiry — Hi Joe. Thank you for your inquiry. We have tried to call you regarding Fox Cottage. If you would care to call back or em…"" (email, 2026-08-12T15:37:15Z).",,,,2026-08-14T21:00:05.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,3
itl_msykdvny_mlnhj7,ag_hist_chalmersagency,prb_hist_0010,closed,2026-08-14T21:12:56.000Z,FALSE,,unknown,,,yes,2026-08-13T13:47:00+01:00,63.56777778,1,0,0,0,0,0,,2026-08-13T13:47:00+01:00,2.65,FALSE,Reactive,reactive,multi-channel,"email,voice",F,Slow human contact (>16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 63.6h (2026-08-13T13:47:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email,voice, chased over 2.65 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message.",,,,2026-08-14T21:12:56.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,1
itl_msykdvny_r1jycq,ag_hist_carterremy,prb_hist_0011,closed,2026-08-15T21:18:38.000Z,FALSE,,unknown,,,yes,2026-08-12T13:25:54Z,16.12111111,0,0,0,0,2,1,email,2026-08-14T08:09:50Z,2.45,TRUE,Booking attempt,proactive,low,email,E,Slow human contact (>16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 16.1h (2026-08-12T13:25:54Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email, chased over 2.45 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Requested information for Bellhouse Avenue, South Ockendon, RM15 — Hi. Please let me know if you would be able to attend a viewing of this property on Saturday…"" (email, 2026-08-12T13:25:54Z); ""Requested information for Bellhouse Avenue, South Ockendon, RM15 — Thank you for your recent enquiry requesting more information, which I am pleased to provide.…"" (email, 2026-08-14T08:09:50Z).",,,,2026-08-15T21:18:38.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,2
itl_msykdvny_ykejhw,ag_hist_periodhomes,prb_hist_0012,closed,2026-08-15T21:19:53.000Z,FALSE,,unknown,,,yes,2026-08-12T09:47:00+01:00,11.45194444,1,0,1,0,1,1,email,2026-08-15T16:00:34Z,3.78,FALSE,Persistent / multi-channel,proactive,multi-channel,"voice,email",B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 11.5h (2026-08-12T09:47:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: voice,email, 1 voicemail(s), chased over 3.78 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""[Unable to transcribe from recording."" (voice, 2026-08-12T09:47:00+01:00); ""5 Milton Road, Warley — Hi Joe. Many thanks for your enquiry, if you could please let us know your availability for a viewing next week - days and times - we wi…"" (email, 2026-08-15T16:00:34Z).",,,,2026-08-15T21:19:53.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,2
itl_msykdvny_09cxx6,ag_hist_wnproperties,prb_hist_0013,closed,2026-08-15T21:21:04.000Z,FALSE,,unknown,,,yes,2026-08-13T17:02:00+01:00,42.68222222,1,0,1,0,0,0,,2026-08-13T17:02:00+01:00,1.78,FALSE,Reactive,reactive,none,voice,F,Slow human contact (>16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 42.7h (2026-08-13T17:02:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice, 1 voicemail(s), chased over 1.78 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hello Joe, this is Jackie calling from WN Properties and Northwood Group. You sent us an inquiry for a possible viewing on a..."" (voice, 2026-08-13T17:02:00+01:00).",,,,2026-08-15T21:21:04.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,1
itl_msykdvny_ao8o07,ag_hist_keithashton,prb_hist_0014,closed,2026-08-15T21:21:55.000Z,FALSE,,unknown,,,yes,2026-08-12T10:20:00+01:00,11.96805556,2,0,2,0,0,1,voice,2026-08-14T11:00:00+01:00,2.53,FALSE,Proactive,proactive,low,voice,B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 12h (2026-08-12T10:20:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: voice, 2 voicemail(s), chased over 2.53 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hello."" (voice, 2026-08-12T10:20:00+01:00); ""So, good morning. It's been sent from Keith Ashton Estate Agents. You were interested in viewing a property we have in number 11 Hammonds Lane. I'd love to arra…"" (voice, 2026-08-14T11:00:00+01:00).",,,,2026-08-15T21:21:55.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,2
itl_msykdvny_d0ajj9,ag_hist_hsestateagents,prb_hist_0015,closed,2026-08-15T21:22:32.000Z,FALSE,,unknown,,,yes,2026-08-12T10:34:11Z,13.19416667,1,0,1,0,1,1,voice,2026-08-15T08:37:17Z,3.47,FALSE,Persistent / multi-channel,proactive,multi-channel,"email,voice",B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 13.2h (2026-08-12T10:34:11Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email,voice, 1 voicemail(s), chased over 3.47 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""RE: Potential valuation: Ingrave Road - Buyer from CM12 — Hi Joe, Good morning. Thank you for your email in relation to 6, Ingrave House, Ingrave Road, if you w…"" (email, 2026-08-12T10:34:11Z); ""Hi Joe, it's Olivia from H Estate Agents. I was just giving you a quick call regarding your enquiry to view one of our properties in Ingrave House. You can give…"" (voice, 2026-08-13T11:22:00+01:00).",,,,2026-08-15T21:22:32.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,2
itl_msykdvnz_tqulg1,ag_hist_meacockjones,prb_hist_0016,closed,2026-08-15T21:23:05.000Z,FALSE,,unknown,,,no,,,0,0,0,0,0,0,,,,FALSE,,none,none,,H,Observation window closed after 4 days with no meaningful response on any channel (Source Master §10).,,,,,"Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none).",,,,2026-08-15T21:23:05.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,0
itl_msykdvnz_c7a12q,ag_hist_tinsleys,prb_hist_0017,closed,2026-08-15T21:23:44.000Z,FALSE,,unknown,,,no,,,0,0,0,0,0,0,,,,FALSE,,none,none,,H,Observation window closed after 4 days with no meaningful response on any channel (Source Master §10).,,,,,"Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none).",,,,2026-08-15T21:23:44.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,0
itl_msykdvnz_6r0srv,ag_hist_smoothmoveestates,prb_hist_0018,closed,2026-08-15T21:25:05.000Z,FALSE,,unknown,,,yes,2026-08-12T00:00:00+01:00,1.581944444,3,0,2,0,1,2,"voice,email",2026-08-14T08:58:00+01:00,2.44,TRUE,Booking attempt,proactive,multi-channel,"email,voice",B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Response: first human contact after 1.6h (2026-08-12T00:00:00+01:00). Persistence: 3 contact attempt(s), 2 follow-up(s), channels: email,voice, 2 voicemail(s), chased over 2.44 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Hello, Joe, this is Lisa from Smooth Move Estates. Just received your inquiry regarding the flat in Raynham, Palliser Drive. If you'd like to give me a call bac…"" (voice, 2026-08-12T12:06:00+01:00); ""32 Palliser Drive — Hi Joe. Thank you for getting in touch, I have phoned you and left a message with my contact number. I'm available to view the flat and woul…"" (email, 2026-08-12T11:10:59Z); ""Hello, Joe, it's Lisa from Smooth Move Estates. Just a quick call, really. I'm assuming you haven't replied, so you're not really particularly interested in loo…"" (voice, 2026-08-14T08:58:00+01:00).",,,,2026-08-15T21:25:05.000Z,2026-08-18T11:13:25.387Z,2026-08-18T22:22:49.323Z,3
