diagnosis_id,agency_id,probe_id,grade,tier,primary_problem,evidence_summary,commercial_implication,recommended_solution,sales_angle
dgn_msyprv08_y6cfpt,ag_hist_carterremy,prb_hist_0011,E,Core,"Slow first response (over 16 hours), though follow-up persistence exists.","Slow human contact (>16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 16.12111111h. Follow-ups: 1. Channels used: email. Days chased: 2.45. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 16.1h (2026-08-12T13:25:54Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email, chased over 2.45 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Requested information for Bellhouse Avenue, South Ockendon, RM15 — Hi. Please let me know if you would be able to attend a viewing of this property on Saturday…"" (email, 2026-08-12T13:25:54Z); ""Requested information for Bellhouse Avenue, South Ockendon, RM15 — Thank you for your recent enquiry requesting more information, which I am pleased to provide.…"" (email, 2026-08-14T08:09:50Z). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),"They do chase, but the first reply is too slow to beat the other agents the prospect also messaged that night."
dgn_msyprv08_cw5bz3,ag_hist_periodhomes,prb_hist_0012,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 11.45194444h. Follow-ups: 1. Channels used: voice,email. Days chased: 3.78. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 11.5h (2026-08-12T09:47:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: voice,email, 1 voicemail(s), chased over 3.78 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""[Unable to transcribe from recording."" (voice, 2026-08-12T09:47:00+01:00); ""5 Milton Road, Warley — Hi Joe. Many thanks for your enquiry, if you could please let us know your availability for a viewing next week - days and times - we wi…"" (email, 2026-08-15T16:00:34Z). Also observed: Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_zwg8a3,ag_hist_wnproperties,prb_hist_0013,F,Core,Slow first response (over 16 hours) and no follow-up persistence.,"Slow human contact (>16h) with 0 genuine follow-up attempts (Source Master §10). Contact posture: reactive. Human lag: 42.68222222h. Follow-ups: 0. Channels used: voice. Days chased: 1.78. Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 42.7h (2026-08-13T17:02:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice, 1 voicemail(s), chased over 1.78 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hello Joe, this is Jackie calling from WN Properties and Northwood Group. You sent us an inquiry for a possible viewing on a..."" (voice, 2026-08-13T17:02:00+01:00). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal. Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. Contact was purely reactive — a single responding attempt, with no follow-up and no push for a specific time or the prospect's availability.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),Slow first reply and no chase after it — the exact gap Core is built to close.
dgn_msyprv08_x428bz,ag_hist_keithashton,prb_hist_0014,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 11.96805556h. Follow-ups: 1. Channels used: voice. Days chased: 2.53. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 12h (2026-08-12T10:20:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: voice, 2 voicemail(s), chased over 2.53 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hello."" (voice, 2026-08-12T10:20:00+01:00); ""So, good morning. It's been sent from Keith Ashton Estate Agents. You were interested in viewing a property we have in number 11 Hammonds Lane. I'd love to arra…"" (voice, 2026-08-14T11:00:00+01:00). Also observed: Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_4fsedk,ag_hist_hsestateagents,prb_hist_0015,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 13.19416667h. Follow-ups: 1. Channels used: email,voice. Days chased: 3.47. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 13.2h (2026-08-12T10:34:11Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email,voice, 1 voicemail(s), chased over 3.47 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""RE: Potential valuation: Ingrave Road - Buyer from CM12 — Hi Joe, Good morning. Thank you for your email in relation to 6, Ingrave House, Ingrave Road, if you w…"" (email, 2026-08-12T10:34:11Z); ""Hi Joe, it's Olivia from H Estate Agents. I was just giving you a quick call regarding your enquiry to view one of our properties in Ingrave House. You can give…"" (voice, 2026-08-13T11:22:00+01:00). Also observed: Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_c6uy7x,ag_hist_meacockjones,prb_hist_0016,H,Core,No meaningful response on any channel within the 4-day observation window.,"Observation window closed after 4 days with no meaningful response on any channel (Source Master §10). Contact posture: none. Follow-ups: 0. Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The enquiry went completely unanswered — the clearest possible case for Core.
dgn_msyprv08_rebtuq,ag_hist_tinsleys,prb_hist_0017,H,Core,No meaningful response on any channel within the 4-day observation window.,"Observation window closed after 4 days with no meaningful response on any channel (Source Master §10). Contact posture: none. Follow-ups: 0. Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The enquiry went completely unanswered — the clearest possible case for Core.
dgn_msyprv08_4raebi,ag_hist_smoothmoveestates,prb_hist_0018,B,Growth,No response-handling problem — fast human contact with genuine follow-up persistence.,"Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 1.581944444h. Follow-ups: 2. Channels used: email,voice. Days chased: 2.44. Response: first human contact after 1.6h (2026-08-12T00:00:00+01:00). Persistence: 3 contact attempt(s), 2 follow-up(s), channels: email,voice, 2 voicemail(s), chased over 2.44 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Hello, Joe, this is Lisa from Smooth Move Estates. Just received your inquiry regarding the flat in Raynham, Palliser Drive. If you'd like to give me a call bac…"" (voice, 2026-08-12T12:06:00+01:00); ""32 Palliser Drive — Hi Joe. Thank you for getting in touch, I have phoned you and left a message with my contact number. I'm available to view the flat and woul…"" (email, 2026-08-12T11:10:59Z); ""Hello, Joe, it's Lisa from Smooth Move Estates. Just a quick call, really. I'm assuming you haven't replied, so you're not really particularly interested in loo…"" (voice, 2026-08-14T08:58:00+01:00).","Front-desk response is already strong; the commercial opportunity is volume/pipeline (database and appraisal follow-through), not response handling.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_3gnvmc,ag_hist_blueprintproperties,prb_hist_0019,F,Core,Slow first response (over 16 hours) and no follow-up persistence.,"Slow human contact (>16h) with 0 genuine follow-up attempts (Source Master §10). Contact posture: proactive. Human lag: 17.69194444h. Follow-ups: 0. Channels used: email. Days chased: 0.74. Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 17.7h (2026-08-12T15:08:05Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email, chased over 0.74 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""RE: Potential valuation: Rayleigh Road - Buyer from CM12 — Hi Joe. Thank you for your enquiry, are you available to view at 10am Friday morning. Thanks. Jack Ja…"" (email, 2026-08-12T15:08:05Z). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),Slow first reply and no chase after it — the exact gap Core is built to close.
dgn_msyprv08_27ksyp,ag_hist_farsonspropertygroup,prb_hist_0020,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 11.38555556h. Follow-ups: 1. Channels used: email,voice. Days chased: 3.54. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 11.4h (2026-08-12T09:51:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email,voice, 1 voicemail(s), chased over 3.54 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Hi, this is Debs from Farsons Property Group. You put in a request to view Clive House flat in Shenfield Road. If you'd like to call me back, then I can arrange…"" (voice, 2026-08-12T09:51:00+01:00); ""Flat 3, Clive House, 61 Shenfield Road — Good morning Joe. Thank you for your Rightmove enquiry to view Flat 3, Clive House. I would be delighted to arrange a v…"" (email, 2026-08-15T10:27:08Z). Also observed: No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_0kjonc,ag_hist_mccartneyestateagents,prb_hist_0021,H,Core,No meaningful response on any channel within the 4-day observation window.,"Observation window closed after 4 days with no meaningful response on any channel (Source Master §10). Contact posture: none. Follow-ups: 0. Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The enquiry went completely unanswered — the clearest possible case for Core.
dgn_msyprv08_z3hy2w,ag_hist_thehomepartnership,prb_hist_0022,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 10.37222222h. Follow-ups: 2. Channels used: email,voice. Days chased: 3.51. Vendor opportunity: no_evidence. 3 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 10.4h (2026-08-12T08:55:00+01:00). Persistence: 3 contact attempt(s), 2 follow-up(s), channels: email,voice, 3 voicemail(s), chased over 3.51 day(s) (proactive). Booking: a viewing/valuation was raised, but no specific time or availability was ever pushed for. Evidence: ""Hi there, it's Bethany calling from Home Estate Agents. Just giving you a quick call in regards to an inquiry you sent in to us for the property we've got put o…"" (voice, 2026-08-12T08:55:00+01:00); ""Hi, it's a message for Joe. It's Michael calling from Home Partnership Estate Agents in Chelmsford. Received your inquiry about the property we have for sale on…"" (voice, 2026-08-13T10:31:00+01:00); ""Hi there, it's Bethany calling from Home Estate Agents. Giving you a quick call. You inquired on a property that we've got for sale..."" (voice, 2026-08-15T10:53:00+01:00). Also observed: No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_1a8ndq,ag_hist_charlesdavidcasson,prb_hist_0023,D,Core,Slower first response (over 1 hour) and no follow-up persistence.,"Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10). Contact posture: proactive. Human lag: 11.24527778h. Follow-ups: 0. Channels used: email,voice. Days chased: 0.47. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 11.2h (2026-08-12T09:50:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email,voice, 1 voicemail(s), chased over 0.47 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Hi, Joey, it's Paddy calling from Charles David Casson Estate Agents regarding your inquiry on the one bedroom apartment we've got for sale on Lambourne Chase.…"" (voice, 2026-08-12T09:50:00+01:00); ""Apartment on Lambourne Chase, Chelmsford — Hi Joe. Hope this email finds you well. I have tried to call regarding your enquiry on the property on Lambourne Chas…"" (email, 2026-08-12T08:53:05Z). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The first reply already takes over an hour and nobody chases after it — Core answers inside a minute and keeps chasing.
